DATE,DROCLACBN
1991-01-01,3.52
1991-04-01,3.41
1991-07-01,3.54
1991-10-01,3.66
1992-01-01,3.24
1992-04-01,3.05
1992-07-01,3.04
1992-10-01,3.10
1993-01-01,2.88
1993-04-01,2.70
1993-07-01,2.73
1993-10-01,2.59
1994-01-01,2.46
1994-04-01,2.36
1994-07-01,2.41
1994-10-01,2.53
1995-01-01,2.48
1995-04-01,2.44
1995-07-01,2.77
1995-10-01,3.08
1996-01-01,2.84
1996-04-01,2.85
1996-07-01,3.06
1996-10-01,3.26
1997-01-01,3.05
1997-04-01,2.98
1997-07-01,3.06
1997-10-01,3.29
1998-01-01,3.01
1998-04-01,3.02
1998-07-01,3.16
1998-10-01,3.36
1999-01-01,3.15
1999-04-01,3.03
1999-07-01,3.02
1999-10-01,3.17
2000-01-01,2.81
2000-04-01,2.82
2000-07-01,2.99
2000-10-01,3.29
2001-01-01,2.85
2001-04-01,2.85
2001-07-01,3.10
2001-10-01,3.30
2002-01-01,2.75
2002-04-01,2.73
2002-07-01,2.80
2002-10-01,2.90
2003-01-01,2.67
2003-04-01,2.61
2003-07-01,2.61
2003-10-01,2.79
2004-01-01,2.42
2004-04-01,2.45
2004-07-01,2.47
2004-10-01,2.49
2005-01-01,2.28
2005-04-01,2.26
2005-07-01,2.14
2005-10-01,2.25
2006-01-01,2.03
2006-04-01,2.10
2006-07-01,2.28
2006-10-01,2.42
2007-01-01,2.21
2007-04-01,2.29
2007-07-01,2.49
2007-10-01,2.84
2008-01-01,2.67
2008-04-01,2.70
2008-07-01,3.06
2008-10-01,3.59
2009-01-01,3.41
2009-04-01,3.55
2009-07-01,3.63
2009-10-01,3.70
2010-01-01,3.37
2010-04-01,3.24
2010-07-01,3.40
2010-10-01,3.26
2011-01-01,2.87
2011-04-01,2.78
2011-07-01,2.82
2011-10-01,3.09
2012-01-01,2.64
2012-04-01,2.67
2012-07-01,2.79
2012-10-01,2.75
2013-01-01,2.32
2013-04-01,2.34
2013-07-01,2.40
2013-10-01,2.56
2014-01-01,2.18
2014-04-01,2.19
2014-07-01,2.23
2014-10-01,2.22
2015-01-01,1.79
2015-04-01,1.77
2015-07-01,1.89
2015-10-01,2.07
2016-01-01,1.72
2016-04-01,1.81
2016-07-01,1.90
2016-10-01,2.17
2017-01-01,1.83
2017-04-01,1.87
2017-07-01,2.05
2017-10-01,2.22
2018-01-01,1.91
2018-04-01,1.92
2018-07-01,2.11
2018-10-01,2.35
